ross,mocking voiceuhsure and also wan king own country and find out what happened amelia earhart
chandler,still amelia earhart
ross,the woman just vanished
joey,seriously ross you dont want this
ross,you know what your odds are winning the lottery mean you have better chance being struck lightning times
chandler,yes but theres six wed only have get struck lightning times
ross,yeah charlie gon joining department
phoebe,youre paleonthologist too pause now what you think ranions new theory species variegation segmented arthopods
ross,phoebe ranions theory species variegation
phoebe,yeah saw the article your coffee table and memorized the title freak you out
monica,ross did you two have fun
ross,god shes great mean wewe have much common and shes just cool and funny
monica,and dont know youve noticed but shes aloud hotty charlie looks her
rachel,she enters wearing bathrobe hey you guys listen you know what not feeling really well think cant get out for the play
ross,really whwhats wrong
rachel,dont know think its kind serious you know was watching this thing this morning about newcastle disease and think might have
rachel,who this
ross,sorry rachel this charlie wealer shes collegue
rachel,would check your hand but sure you dont want get chicken disease
monica,hey rachel cancan see you for sec
chandler,have leave
monica,why what did you the bathroom
chandler,didnt get the bathroom bumped into owen the way and didnt know was adopted and theres slight chance may have told him
monica,god wheres purse you know what can replace everything there get that binder and lets
chandler,but kids are intuitive dont you think some level already knows
chandler,see intuitive
chandler,which technically now you should give back
chandler,sorry but you should have sign out there something least whisper people when they come the door owen doesnt know hes adopted and also thinks that santa real
ross,everyone would like make toast rachel and joey
rachel,ooy
ross,and love love love love for life and what life without love
rachel,god are supposed answer
ross,for wow the for this very surprising turn events which still fine with the way for how extremely normal find that you two are together and now one day you might get married and have children your own
ross,phoebe what happened
phoebe,well was accidentyou know its lot oil and sometimes the hand just slips
chandler,monica have got surprise for you pack your bags
phoebe,noyou guys arent supposed get divorced for years
chandler,what taking monica romantic inn vermont shows them brochure
phoebe,goodok good for youtry recapture the magic
chandler,what you say can you get out work
monica,honeyi cant was just telling these guys that things are crazy the restaurant
chandler,are you really that busy
monica,yeah sorry really
chandler,thats okill just try and reschedule the phone this chandler bing made reservation there and need change pause what you mean its not refundable can just come some other time pause cant you make exception
monica,tell them chef big new york restaurant
phoebe,and tell them that weeks will once again masseuse good standing
chandler,the phone look this ridiculous not paying for that room pause thank you very much hangs yeah going vermont
ross,dont worry about just use your travel insurance
chandler,dont have travel insurance
ross,well this what happens when people live the edge
chandler,looking the picture the female reproductive system wow fortunately she has very pretty face
monica,cant believe this uterus inhospitable environment was trying hard good hostess
chandler,cant believe sperm have low motility because let tell you when was growing they sure seem hurry get places
chandler,damn
monica,dont worry after while hell tune out
monica,long pause
chandler,that hint because love you doctor connelly but dont think wed want you our child connelly glares him wow talking about inhospitable environment
rachel,youre ready pick phoebe and shopping
joey,charlie alright have good time they kiss
rachel,not gon find any clothes there
ross,entering hey you guys
chandler,okay well well back there but will you one thing for the people that care about you
rachel,sure
chandler,enunciate
rachel,get out
rachel,are they right
joey,probably yeah mean maybe should hold off until talk ross
