person,dialogue
monica,flipping bunch folders chandler enters bathroom okay looked bunch career guides photocopied highlighted key passages put alphabetical folders make informed decision
chandler,long
monica,okay let start advertising
chandler,wait advertising thats great idea
monica,dont want look rest
chandler,dont think hear rest advertising makes perfect sense sorry waste time though
monica,call eight hours alone label maker wasted time ooh get use shredder
rachel,well first met know thought pompous arrogant obnoxious
rachel,mean know first impression dont mean anything think really good guy sorry misjudge
rachel,hey turning around place documents
rachel,know hey new day new leave really really happyshe turned around see gaving looking heathers buttim sorry obviously heathers ass something important say wait till finish
rachel,giving apology totally checking
rachel,really really creep
rachel,even care looking jealous
rachel,yeah sarcastic jealous gavin please please look ass
rachel,stop looking ass
rachel,mean think totally inappropriate working environment subordinate
rachel,totally different two reasons one didnt know knew two wasnt creep staring ass awe deep meaningful relationship
rachel,wasstaring air thinkingoh godhe didnthe didnt last name justjust tag know like cher knowmoses
rachel,turned around looking angry mumbling boyfriend
joey,going script wan read lines
rachel,actress
joey,right ask monica
rachel,screw part mine
joey,right pause top page right
rachel,okay pauseacting hello drake surprised see
rachel,pause kiss
rachel,kiss
joey,rach doesnt say
rachel,saying
rachel,dont talk kisses
rachel,waking ehhh pause well thats new
ross,phone ross geller suite seems forgot couple things could complimentary toiletries sent room pause thank toothbrush toothpaste razor mouthwash deodorant dental floss band aids shaving cream shave feel like forgetting something anything else havent asked already pause yeah ahead send tampons
phoebe,yeah
rachel,keep
phoebe,sure
rachel,great got get smell beets killing
phoebe,chance charlie deaf twin
monica,honey
chandler,hey look brought friend dinner zack work
monica,course nice see zack
chandler,guys havent actually met boy youre polite pause seat zack ill get beer
monica,got
chandler,mon zacks pretty nice
monica,yeah guess
chandler,would like baby thats half half
joey,gon get lasagna
ross,hey rach
rachel,yeah
ross,mind sit sec
rachel,yeah yeah sure yeah mouths good luck joey gets seat
ross,hey
joey,hey
ross,uhm kinda need talk charlie
joey,yeah
ross,okay last night guys broke sorry hear way well charlie talking well
joey,kissed
ross,wha gasps would give idea
joey,saw
ross,yeah kissed nothing else nothing else happened okay
joey,ross ross ross okay
joey,yes shes much smarter girls ive ever dated combined dont want think stupid
ross,looking wearing two belts
joey,checking know
ross,saying didnt want seem stupid
joey,right right right well wants cultural places dont know talk stuff got help
ross,know really dont want get involved guys relationship
joey,please cmon youre smartest person know really like girl dont wan lose
ross,short hesitation fine
joey,thanks
ross,lets see take met
joey,metsss
ross,met metropolitan museum art
joey,realizing thats meant pause know theyre gon shorten call muse know short museum avoid confusion
ross,yeah place packed confused angry baseball fans
joey,pick starting forward
rachel,touched would never get picked
chandler,know sure sports team way
joey,youre gon let buy knicks cant believe youre taking away
chandler,youre right dream seconds
ross,rachel long announce numbers mommy
chandler,looks around ill take one ross mommy
ross,ive gotten habit calling rachel mommy around emma realize
rachel,hoping hears enough first word
ross,although gon probably call daddy
phoebe,oooh like daddy sexy tone
ross,talking rachel
phoebe,still sexy tone oooh daddy getting angry daddy gon spank
ross,tries sexy well depends baaad stops cant
chandler,hello hello hey charlie anybody else hear susan got man would slept alright bye hangs
ross,well mean goes really really smart guys
ross,lead
monica,thats sign right bra actor
joey,monica
monica,dont worry joe wont come next year
joey,rachel got
ross,boys gave phone numbers
joey,let see hands pile tissues damn thats lot guys little slutty
rachel,drunken voice think
joey,browsing tissues let see approve clowns guy wears rug discards one guys canadian discards another guy cult costs get level three dont feel different
joey,discarding remaining tissues one one pass pass pass doublepass pass
rachel,picking tissues whats wrong guys
joey,nothing major know theyre really good enough deserve best
rachel,joey youre sweet
joey,thats true know doesnt matter already know youre gon home tonight
ross,yeah never misses conferences charlie saw kenneth schwartz
ross,yeah going say kenneth schwartz
joey,could say hey kenny come youre britney spears looks ross matteroffactly
ross,charlie ready
joey,wha youre gon thought could hang
ross,yeah
joey,smiling wear thong
joey,got weird deal
ross,little embarassed conversation good dinner plans moves away
joey,yeah yeah ive got tons stuff could gon hit beach swimming
ross,joe looked outside
joey,man
chandler,listen eri need ask favor cant tell monica anything
joey,thought didnt secrets monica
chandler,would made official party line joey nods monica little financial trouble
joey,yeahi know
chandler,mean know
joey,eri figured knowi mean youre working economy bad
chandler,right
chandler,anyway need borrow money
joey,sure much two thousand dollars
chandler,yes two thousand dollars exactly know joey begins writing cheque
joey,erwell iknow much used makeand know much rent shrugs
joey,erkind
chandler,cant believe tell money problems
joey,noit wasntit wasnt money problemsit somethingfor
chandler,well died funny
ross,please hit blimp
chandler,kills one americans every year
ross,unbelievable classmates gon think dead professors parents gon get phone calls youre messing peoples feelings
chandler,wan talk peoples feelings heard hurt professor stern yesterday told wouldnt able key west
ross,youve really crossed line thats okay cause way buy photoshop software stack gay porn thats right coming get real graphic
phoebe,god wish mike
monica,okay mike would two
monica,animals oclock afternoon
phoebe,got call talk theres harm
monica,phoebe thats starts dont need eat cake ill smell icing dont eat little sliver okay slice two next thing know youre pounds get wedged going tunnel slide phoebe honey know hard look talk youre going wan see see youre going want get back together know thats want pause give phone
monica,cell
phoebe,okay takes huge clearly obsolete cellphone keeps closet gives monica
phoebe,know phoebe picks little packet sugar shakes realises cant open one hand doesnt want let mikes hand tries tear open packet one hand
phoebe,yeah kinda mike lets hand well hows takes mikes hand puts breast tears open sugar puts coffee mike thinks nods appreciative hold hands joey enters sees two sitting couch holding hands
joey,aaaaahhhhh sweeeeeet voice aaahhh look two holding hands huh getting serious phoebe mike embarrassed start babbling look away talked yet say nothing smile making uncomfortable smiles becoming forced speaks mike bigger youd hit huh aaaaaahhhhhh turns away bar
phoebe,sorry sorry obviously way early conversation
phoebe,flash answers maybe
phoebe,impatient know mike dont keep digging
phoebe,key honest think prefer five dollars
phoebe,really surprised wow ooh ooh big step phoebe mike
phoebe,want
phoebe,yeah ooh wow even started think never meet someone know wanted phoebe mike look really proud
phoebe,really
joey,sitting table know amazing little things open doors huh mimes opening door keys phoebe looks yeah yeah yeah way
rachel,dont back work another four weeks would like nanny start right away emma could get chance know
ross,welcome
ross,ive got bottled breast milk
ross,okay
ross,phoebe tells play piano
ross,know used play keyboards college
ross,erm know divorced phoebe said youve divorced
ross,lost words yeah thats okay well talk something else
ross,yeah
ross,well would probably lot talk
monica,surprised
chandler,hey
phoebe,hey ross glad someones could zip
ross,sure
phoebe,thank believe one apartment offered
ross,people shakes head sit dressed
phoebe,umm mikes picking date
ross,yea going getting serious
phoebe,dunno dunno know mean like ready take grade loins meat market
ross,know really admire whole dating attitude healthy always like moving fast moving slow wheres going
phoebe,yea know bit drama queen
ross,much better guy guy fun never worrying terns anything serious
